Use Group,Use Header,Use Name,Use Name Full,Use NAICS Code,NAICS Notes,NAICS to subtract,Zoning District,Permitted Value,Not permitted,Permitted,Permitted with limitations,Permitted with limitations*,Special Permit,Size Restrictions,Additional Conditions,Open Use Allowances,Is Allowed,Limitations
X,Wood Product Manufacturing (321),Other wood product manufacturing (3219),Other wood product manufacturing (3219),3219,,,R7,–,True,False,,,,,,,No,
X,Paper Manufacturing (322),"Pulp, paper, and paperboard mills (3221)","Pulp, paper, and paperboard mills (3221)",3221,,,R7,–,True,False,,,,,,,No,
X,Paper Manufacturing (322),Stationary product manufacturing (32223),Converted paper product manufacturing (3222) - Stationary product manufacturing (32223),32223,,,R7,–,True,False,,,,,,,No,
X,Paper Manufacturing (322),All other converted paper product manufacturing (in 3222),Converted paper product manufacturing (3222) - All other converted paper product manufacturing (in 3222),3222,3222 minus 32223,32223.0,R7,–,True,False,,,,,,,No,
X,Printing and Related Support Activities (323),Printing and related support activities (3231),Printing and related support activities (3231),3231,,,R7,–,True,False,,,,,,,No,
X,Petroleum and Coal Products Manufacturing (324),Petroleum and coal products manufacturing (3241),Petroleum and coal products manufacturing (3241),3241,,,R7,–,True,False,,,,,,,No,
X,Chemical Manufacturing (325),Pharmaceutical and medicine manufacturing (3254),Pharmaceutical and medicine manufacturing (3254),3254,,,R7,–,True,False,,,,,,,No,
X,Chemical Manufacturing (325),Soap and other detergent manufacturing (325611),"Soap, cleaning compound, and toilet preparation manufacturing (3256) - Soap and other detergent manufacturing (325611)",325611,,,R7,–,True,False,,,,,,,No,
X,Chemical Manufacturing (325),"All other soap, cleaning compound and toilet preparation manufacturing (in 3256)","Soap, cleaning compound, and toilet preparation manufacturing (3256) - All other soap, cleaning compound and toilet preparation manufacturing (in 3256)",3256,3256 minus 325611,325611.0,R7,–,True,False,,,,,,,No,
X,Chemical Manufacturing (325),All other chemical manufacturing (in 325),All other chemical manufacturing (in 325),325,"325 minus 3254, 3256",3254.0,R7,–,True,False,,,,,,,No,
X,Chemical Manufacturing (325),All other chemical manufacturing (in 325),All other chemical manufacturing (in 325),325,"325 minus 3254, 3256",3256.0,R7,–,True,False,,,,,,,No,
X,Plastics and Rubber Products Manufacturing (326),Plastics and rubber products manufacturing (326),Plastics and rubber products manufacturing (326),326,,,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),Clay building material and refractories manufacturing (32712),Clay product and refractory manufacturing (3271) - Clay building material and refractories manufacturing (32712),32712,,,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),All other clay product and refractory manufacturing (in 3271),Clay product and refractory manufacturing (3271) - All other clay product and refractory manufacturing (in 3271),3271,3271 minus 32712,32712.0,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),Flat glass manufacturing (327211),Glass and glass product manufacturing (3272) - Flat glass manufacturing (327211),327211,,,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),Other pressed and blown glass and glassware manufacturing (327212),Glass and glass product manufacturing (3272) - Other pressed and blown glass and glassware manufacturing (327212),327212,,,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),All other glass and glass product manufacturing (in 3272),Glass and glass product manufacturing (3272) - All other glass and glass product manufacturing (in 3272),3272,"3272 minus 327211, 327212",327211.0,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),All other glass and glass product manufacturing (in 3272),Glass and glass product manufacturing (3272) - All other glass and glass product manufacturing (in 3272),3272,"3272 minus 327211, 327212",327212.0,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),All other nonmetallic mineral product manufacturing (in 327),All other nonmetallic mineral product manufacturing (in 327),327,"327 minus 3271, 3272",3271.0,R7,–,True,False,,,,,,,No,
X,Nonmetallic Mineral Product Manufacturing (327),All other nonmetallic mineral product manufacturing (in 327),All other nonmetallic mineral product manufacturing (in 327),327,"327 minus 3271, 3272",3272.0,R7,–,True,False,,,,,,,No,
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Primary metal manufacturing (331),Primary metal manufacturing (331),331,,,R7,–,True,False,,,,,,,No,
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),Cutlery and handtool manufacturing (3322),Fabricated metal product manufacturing (332) - Cutlery and handtool manufacturing (3322),3322,,,R7,–,True,False,,,,,,,No,
X,Primary Metal Manufacturing and Fabricated Metal Product Manufacturing (331 - 332),All other fabricated metal product manufacturing (in 332),Fabricated metal product manufacturing (332) - All other fabricated metal product manufacturing (in 332),332,332 minus 3322,3322.0,R7,–,True,False,,,,,,,No,
X,Machinery Manufacturing (333),"Agriculture, construction and mining machinery manufacturing (3331)","Agriculture, construction and mining machinery manufacturing (3331)",3331,,,R7,–,True,False,,,,,,,No,
X,Machinery Manufacturing (333),All other machinery manufacturing (in 333),All other machinery manufacturing (in 333),333,333 minus 3331,3331.0,R7,–,True,False,,,,,,,No,
X,Computer and Electronic Product Manufacturing (334),Computer and peripheral equipment manufacturing (334),Computer and peripheral equipment manufacturing (334),334,,,R7,–,True,False,,,,,,,No,
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Electric lighting equipment manufacturing (3351),Electric lighting equipment manufacturing (3351),3351,,,R7,–,True,False,,,,,,,No,
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Small electrical appliance manufacturing (33521),Household appliance manufacturing (3352) - Small electrical appliance manufacturing (33521),33521,,,R7,–,True,False,,,,,,,No,
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",Major household appliance manufacturing (33522),Household appliance manufacturing (3352) - Major household appliance manufacturing (33522),33522,,,R7,–,True,False,,,,,,,No,
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",All other electrical equipment and component manufacturing (in 335),All other electrical equipment and component manufacturing (in 335),335,"335 minus 3351, 33521, 33522",3351.0,R7,–,True,False,,,,,,,No,
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",All other electrical equipment and component manufacturing (in 335),All other electrical equipment and component manufacturing (in 335),335,"335 minus 3351, 33521, 33522",33521.0,R7,–,True,False,,,,,,,No,
X,"Electrical Equipment, Appliance, and Component Manufacturing (335)",All other electrical equipment and component manufacturing (in 335),All other electrical equipment and component manufacturing (in 335),335,"335 minus 3351, 33521, 33522",33522.0,R7,–,True,False,,,,,,,No,
X,Transportation Equipment Manufacturing (336),Transportation equipment manufacturing (336),Transportation equipment manufacturing (336),336,,,R7,–,True,False,,,,,,,No,
X,Furniture and Related Product Manufacturing (337),Furniture and related product manufacturing (337),Furniture and related product manufacturing (337),337,,,R7,–,True,False,,,,,,,No,
X,Miscellaneous Manufacturing (339),Medical equipment and supplies manufacturing (3391),Medical equipment and supplies manufacturing (3391),3391,,,R7,–,True,False,,,,,,,No,
X,Miscellaneous Manufacturing (339),Other miscellaneous manufacturing (3399),Other miscellaneous manufacturing (3399),3399,,,R7,–,True,False,,,,,,,No,
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens","Agricultural #uses#, including greenhouses, nurseries or truck gardens",,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-112,,"Yes, subject to additional conditions",
I,Open Uses,Cemeteries,Cemeteries,,,,R8,●,False,True,,,,,,,Yes,
I,Open Uses,Golf courses,Golf courses,,,,R8,●,False,True,,,,,,,Yes,
I,Open Uses,Outdoor racket courts,Outdoor racket courts,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-112,,"Yes, subject to additional conditions",
I,Open Uses,Outdoor skating rinks,Outdoor skating rinks,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-112,,"Yes, subject to additional conditions",
I,Open Uses,#Public parks# or playgrounds or private parks,#Public parks# or playgrounds or private parks,,,,R8,●,False,True,,,,,,,Yes,
I,Open Uses,"Sand, gravel or clay pits","Sand, gravel or clay pits",,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,,,,"Yes, by special permit",
II,Residential Uses,#Single-family residence# #Detached#,#Single-family residence# #Detached#,,,,R8,●,False,True,,,,,,,Yes,
II,Residential Uses,#Single-family residence# Other types,#Single-family residence# Other types,,,,R8,●,False,True,,,,,,,Yes,
II,Residential Uses,#Two-family residence# #Detached#,#Two-family residence# #Detached#,,,,R8,●,False,True,,,,,,,Yes,
II,Residential Uses,#Two-family residence# Other types,#Two-family residence# Other types,,,,R8,●,False,True,,,,,,,Yes,
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#","All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",,,,R8,●,False,True,,,,,,,Yes,
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,College or school student dormitories and fraternity or sorority student houses,,,,R8,●,False,True,,,,,,,Yes,
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates","Monasteries, convents or novitiates",,,,R8,●,False,True,,,,,,,Yes,
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,Rectories or parish houses with sleeping accommodations,,,,R8,●,False,True,,,,,,,Yes,
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,Seminaries with sleeping accommodations,,,,R8,●,False,True,,,,,,,Yes,
III(A),Health Institutions and Facilities,#Long-term care facilities#,#Long-term care facilities#,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,,"Yes, subject to additional conditions",
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,#Non-profit hospital staff dwellings#,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,,"Yes, subject to additional conditions",
III(A),Other Institutions and Facilities,Community centers or settlement houses with sleeping accommodations,Community centers or settlement houses with sleeping accommodations,,,,R8,●,False,True,,,,,,,Yes,
III(A),Other Institutions and Facilities,Non-commercial clubs with sleeping accommodations,Non-commercial clubs with sleeping accommodations,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,,"Yes, subject to additional conditions",
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,Philanthropic or non-profit institutions with sleeping accommodations,,,,R8,●S,False,True,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-132,,,"Yes, subject to size restrictions",
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools","Colleges or universities, including professional schools but excluding business colleges or trade schools",,,,R8,●,False,True,,,,,,,Yes,
III(B),Educational Institutions,#Schools#,#Schools#,,,,R8,●,False,True,,,,,,,Yes,
III(B),Faith-based Institutions and Facilities,Houses of worship,Houses of worship,,,,R8,●,False,True,,,,,,,Yes,
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,Parish houses without sleeping accommodations,,,,R8,●,False,True,,,,,,,Yes,
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,Seminaries without sleeping accommodations,,,,R8,●,False,True,,,,,,,Yes,
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,Ambulatory diagnostic or treatment health care facilities,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,,"Yes, subject to additional conditions",
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals","Non-profit or voluntary hospitals and related facilities, except animal hospitals",,,,R8,●,False,True,,,,,,,Yes,
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals","Proprietary hospitals and related facilities, except animal hospitals",,,,R8,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Community centers or settlement houses without sleeping accommodations,Community centers or settlement houses without sleeping accommodations,,,,R8,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Libraries,Libraries,,,,R8,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Museums,Museums,,,,R8,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Non-commercial art galleries,Non-commercial art galleries,,,,R8,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Non-commercial clubs without sleeping accomodations,Non-commercial clubs without sleeping accomodations,,,,R8,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,,"Yes, subject to additional conditions",
III(B),Other Institutions and Facilities,Non-commercial recreation centers,Non-commercial recreation centers,,,,R8,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities","Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",,,,R8,●S,False,True,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-132,,,"Yes, subject to size restrictions",
III(B),Other Institutions and Facilities,Welfare centers,Welfare centers,,,,R8,●,False,True,,,,,,,Yes,
IV(A),Public Service Buildings,Court houses,Court houses,,,,R8,–,True,False,,,,,,,No,
IV(A),Public Service Buildings,Fire or police stations,Fire or police stations,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(A),Other Facilities,Prisons,Prisons,,,,R8,–,True,False,,,,,,,No,
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#","Radio or television towers, non-#accessory#",,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Communication Infrastructure,Telephone exchanges or other communications equipment structures,Telephone exchanges or other communications equipment structures,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,Electric power or steam generating plants,Electric power or steam generating plants,,,,R8,–,True,False,,,,,,,No,
IV(B),Electric and Gas Infrastructure,Electric utility substations,Electric utility substations,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,Gas utility substations,Gas utility substations,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,Public utility stations for oil or gas metering or regulating,Public utility stations for oil or gas metering or regulating,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,"Terminal facilities at river crossings for access to electric, gas, or steam lines","Terminal facilities at river crossings for access to electric, gas, or steam lines",,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),"Sewage, Storm Water and Waste Infrastructure",Composting,Composting,,,,R8,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles",,,,R8,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure","Incineration or reduction of garbage, offal or dead animals","Incineration or reduction of garbage, offal or dead animals",,,,R8,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Radioactive waste disposal services involving the handling or storage of radioactive waste,Radioactive waste disposal services involving the handling or storage of radioactive waste,,,,R8,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Sewage disposal plants,Sewage disposal plants,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),"Sewage, Storm Water and Waste Infrastructure",Water or sewage pumping stations,Water or sewage pumping stations,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,Airports,Airports,,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Boat launching facilities for non-commercial pleasure boats,Boat launching facilities for non-commercial pleasure boats,,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Bus stations,Bus stations,,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Docks,Docks,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,"Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations","Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations",,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Heliports,Heliports,,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Mooring facilities for non-commercial pleasure boats,Mooring facilities for non-commercial pleasure boats,,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Public transit or railroad electric substations,Public transit or railroad electric substations,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,"Public transit yards, including #accessory# motor fuel pumps","Public transit yards, including #accessory# motor fuel pumps",,,,R8,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Railroad or transit rights-of-way,Railroad or transit rights-of-way,,,,R8,●,False,True,,,,,,,Yes,
IV(B),Transportation Infrastructure,Railroad passenger stations,Railroad passenger stations,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,Seaplane bases,Seaplane bases,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,Truck weighing stations,Truck weighing stations,,,,R8,–,True,False,,,,,,,No,
IV(C),Renewable Energy and Green Infrastructure,#Energy infrastructure equipment#,#Energy infrastructure equipment#,,,,R8,●S     P,False,True,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-142,https://zr.planning.nyc.gov/article-ii/chapter-2#22-143,,"Yes, subject to size restrictions, subject to additional conditions",
IV(C),Renewable Energy and Green Infrastructure,Public bicycle and micromobility parking,Public bicycle and micromobility parking,,,,R8,–,True,False,,,,,,,No,
IV(C),Renewable Energy and Green Infrastructure,"Recycling, or organic material, receiving","Recycling, or organic material, receiving",,,,R8,–,True,False,,,,,,,No,
V,Transient Accommodations,#Motels#,#Motels#,,,,R8,–,True,False,,,,,,,No,
V,Transient Accommodations,Overnight camps,Overnight camps,,,,R8,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-15,,,,"Yes, by special permit",
V,Transient Accommodations,#Tourist cabins#,#Tourist cabins#,,,,R8,–,True,False,,,,,,,No,
V,Transient Accommodations,#Transient hotels#,#Transient hotels#,,,,R8,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),Automobile dealers (4411),Automobile dealers (4411),4411,,,R8,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),Boat dealers (441222),Boat dealers (441222),441222,,,R8,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),All other motor vehicle dealers (in 4412),All other motor vehicle dealers (in 4412),4412,4412 minus 441222,441222.0,R8,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),"Automotive parts, accessories and tire retailers (4413)","Automotive parts, accessories and tire retailers (4413)",4413,,,R8,–,True,False,,,,,,,No,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),"Lumber yards, retail (in 444180)","Lumber yards, retail (in 444180)",444180,444180 (Lumber retailing yards),,R8,–,True,False,,,,,,,No,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),All other building material and supplies dealers (in 4441),All other building material and supplies dealers (in 4441),4441,4441 minus 444180,444180.0,R8,–,True,False,,,,,,,No,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),Lawn and garden equipment and supplies retailers (4442),Lawn and garden equipment and supplies retailers (4442),4442,,,R8,–,True,False,,,,,,,No,
VI Retail,Food and Beverage Retailers (445),Grocery and convenience retailers (4451),Grocery and convenience retailers (4451),4451,,,R8,–,True,False,,,,,,,No,
VI Retail,Food and Beverage Retailers (445),Specialty food retailers (4452),Specialty food retailers (4452),4452,,,R8,–,True,False,,,,,,,No,
VI Retail,Food and Beverage Retailers (445),"Beer, wine and liquor retailers (4453)","Beer, wine and liquor retailers (4453)",4453,,,R8,–,True,False,,,,,,,No,
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Furniture and home furnishing retailers (4491),Furniture and home furnishing retailers (4491),4491,,,R8,–,True,False,,,,,,,No,
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Electronics and appliance retailers (4492),Electronics and appliance retailers (4492),4492,,,R8,–,True,False,,,,,,,No,
VI Retail,General Merchandise Retailers (455),Department stores (4551),Department stores (4551),4551,,,R8,–,True,False,,,,,,,No,
VI Retail,General Merchandise Retailers (455),"Warehouse clubs, supercenters, and other general merchandise retailers (4552)","Warehouse clubs, supercenters, and other general merchandise retailers (4552)",4552,,,R8,–,True,False,,,,,,,No,
VI Retail,Health and Personal Care Retailers (456),Health and personal care retailers (4561),Health and personal care retailers (4561),4561,,,R8,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),#Automotive service stations#,Gasoline stations (4571) - #Automotive service stations#,4571,,,R8,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),Electric vehicle charging and battery swapping,Gasoline stations (4571) - Electric vehicle charging and battery swapping,4571,,,R8,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),Boat fuel sales,Gasoline stations (4571) - Boat fuel sales,4571,,,R8,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),Fuel dealers (4572),Fuel dealers (4572),4572,,,R8,–,True,False,,,,,,,No,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Clothing and clothing accessories retailers (4581),Clothing and clothing accessories retailers (4581),4581,,,R8,–,True,False,,,,,,,No,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Shoe retailers (4582),Shoe retailers (4582),4582,,,R8,–,True,False,,,,,,,No,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)","Jewelry, luggage, and leather goods retailers (4583)","Jewelry, luggage, and leather goods retailers (4583)",4583,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Sporting goods retailers (45911),Sporting goods retailers (45911),45911,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",All other hobby and musical instrument retailers (in 4591),All other hobby and musical instrument retailers (in 4591),4591,4591 minus 45911,45911.0,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Book retailers,Book retailers and news dealers (4592) - Book retailers,4592,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",News dealers,Book retailers and news dealers (4592) - News dealers,4592,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Florists (4593),Florists (4593),4593,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)","Office supplies, stationary, and gift retailers (4594)","Office supplies, stationary, and gift retailers (4594)",4594,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Used merchandise retailers (4595),Used merchandise retailers (4595),4595,,,R8,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Miscellaneous retailers (4599),Miscellaneous retailers (4599),4599,,,R8,–,True,False,,,,,,,No,
VI Services,Postal Service (491) / Couriers and Messengers (492),Postal service (4911),Postal service (4911),4911,,,R8,–,True,False,,,,,,,No,
VI Services,Postal Service (491) / Couriers and Messengers (492),Couriers and express delivery services (4921),Couriers and express delivery services (4921),4921,,,R8,–,True,False,,,,,,,No,
VI Services,Postal Service (491) / Couriers and Messengers (492),Local messengers and local delivery (4922),Local messengers and local delivery (4922),4922,,,R8,–,True,False,,,,,,,No,
VI Services,Telecommunications (517),Wired and wireless telecommunications (5171),Wired and wireless telecommunications (5171),5171,,,R8,–,True,False,,,,,,,No,
VI Services,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (518)","Computing infrastructure providers, data processing, web hosting, and related services (5182)","Computing infrastructure providers, data processing, web hosting, and related services (5182)",5182,,,R8,–,True,False,,,,,,,No,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223",5221,,R8,–,True,False,,,,,,,No,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223",5222,,R8,–,True,False,,,,,,,No,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223",5223,,R8,–,True,False,,,,,,,No,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239",5231,,R8,–,True,False,,,,,,,No,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239",5232,,R8,–,True,False,,,,,,,No,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239",5239,,R8,–,True,False,,,,,,,No,
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),Insurance carriers and related activities (5241 and 5242),"5241, 5242",5241,,R8,–,True,False,,,,,,,No,
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),Insurance carriers and related activities (5241 and 5242),"5241, 5242",5242,,R8,–,True,False,,,,,,,No,
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)","Funds, trusts and other financial vehicles (5251 and 5259)","5251, 5259",5251,,R8,–,True,False,,,,,,,No,
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)","Funds, trusts and other financial vehicles (5251 and 5259)","5251, 5259",5259,,R8,–,True,False,,,,,,,No,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","Real estate (5311, 5312, and 5313)","5311, 5312, 5313",5311,,R8,–,True,False,,,,,,,No,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","Real estate (5311, 5312, and 5313)","5311, 5312, 5313",5312,,R8,–,True,False,,,,,,,No,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","Real estate (5311, 5312, and 5313)","5311, 5312, 5313",5313,,R8,–,True,False,,,,,,,No,
